,,val_loss,loss
0,54,3.673199763086629,3.0207194327329474
0,55,3.6603137537763626,3.0102649982798826
0,56,3.6477524898322344,3.000080946055726
0,57,3.6354957947002844,2.9901254622614526
0,58,3.623549640354852,2.9804199468667476
0,59,3.6118322687196027,2.9709324370658723
0,60,3.600382677557433,2.9616537512480265
0,61,3.5891871212738486,2.9525827661301918
0,62,3.57826020564939,2.943727360510594
0,63,3.567537254183163,2.935058813109772
0,64,3.557083008207124,2.9265590827485854
0,65,3.5468127447983315,2.9182440120174435
0,66,3.5367505449379606,2.910110092065223
0,67,3.526899743197587,2.902140159127405
0,68,3.517252489851026,2.8943125821676787
0,69,3.507783961178634,2.886649641127021
0,70,3.4984741694821513,2.8791380889602904
0,71,3.489358824227244,2.8717522696509246
0,72,3.4804340865224455,2.864527210374561
0,73,3.4716541367798603,2.857447966898081
0,74,3.4630254353208496,2.8504868444019
0,75,3.454568358360253,2.8436473677377325
0,76,3.4462883888207045,2.8369450783228007
0,77,3.4381503278985988,2.8303688869163155
0,78,3.4301335245517675,2.823901645020377
0,79,3.422260053756789,2.817553966653353
0,80,3.414512904876559,2.8113013700805243
0,81,3.4068840435573033,2.805166592067055
0,82,3.3993913638767936,2.7991301860486377
0,83,3.3920366437564344,2.7931938418490634
0,84,3.384797468326362,2.7873633753158544
0,85,3.3776745885463773,2.7816269680804138
0,86,3.370651690948186,2.775981996828865
0,87,3.3637100116372696,2.7704195692944125
0,88,3.3568967290699776,2.7649387006456267
0,89,3.350205428024818,2.759556163745761
0,90,3.343588597903698,2.754251529914774
0,91,3.3370764652496487,2.749024681019869
0,92,3.3306597808311724,2.743878435513617
0,93,3.324337568658913,2.738810374224229
0,94,3.3181159658385027,2.7338149010798696
0,95,3.311991844506099,2.7289012610208934
0,96,3.3059114961201335,2.72405865788154
0,97,3.2999528518451258,2.719266012963911
0,98,3.294061706806051,2.7145616979339664
0,99,3.288256470440644,2.709915486111159
0,100,3.2824912219211972,2.705336963659436
0,101,3.2768359440300854,2.7008130614240087
0,102,3.2712585601900597,2.696354542664224
0,103,3.2657410790767574,2.691954017627417
0,104,3.260307069365027,2.687613203294342
0,105,3.254938445067758,2.6833322163420865
0,106,3.2496352905123103,2.679102225252272
0,107,3.2444264076026204,2.6749258869791595
0,108,3.2392563740020903,2.670808161681221
0,109,3.234173215668777,2.666742250061818
0,110,3.229143372662549,2.6627286901591436
0,111,3.224163753528313,2.6587645582323383
0,112,3.2192427813713187,2.654848252693282
0,113,3.2143794191294703,2.6509747767949974
0,114,3.209574051561027,2.647150202614641
0,115,3.20482951291089,2.643370438013522
0,116,3.200125657866154,2.6396357699502366
0,117,3.195492165194356,2.635949564126897
0,118,3.1909111389385654,2.632304206599083
0,119,3.186377333655146,2.6287054617017156
0,120,3.1818872120580064,2.6251419963317995
0,121,3.177453389191275,2.621621681323964
0,122,3.1730640063732127,2.6181368547931827
0,123,3.1687259427432357,2.614691662164515
0,124,3.164452904198557,2.611286081345403
0,125,3.1602199474579007,2.607926579057528
0,126,3.156021923384643,2.6045969183840096
0,127,3.1518659547044727,2.6013052303280935
0,128,3.147771910493597,2.598042716510238
0,129,3.143702889663245,2.5948162888183908
0,130,3.139674095332329,2.5916234893759684
0,131,3.1356875663907657,2.5884634785679075
0,132,3.1317404469833,2.58533942245593
0,133,3.1278347085849405,2.582245370973496
0,134,3.123973266244522,2.579179712489301
0,135,3.120133750896736,2.576147592073835
0,136,3.116343738762616,2.5731438414141605
0,137,3.1125886200684043,2.570172112534877
0,138,3.1088690311450677,2.567227165805431
0,139,3.1051899677426946,2.564313958179284
0,140,3.1015441659636096,2.5614255210324517
0,141,3.0979332914493356,2.5585655613640386
0,142,3.094356310426308,2.555737787237407
0,143,3.0908132351090756,2.5529334419136966
0,144,3.0873013404789815,2.550158442589734
0,145,3.083822100268209,2.5474041217287238
0,146,3.0803868054169152,2.5446770691883875
0,147,3.076976700017018,2.5419774523021137
0,148,3.073594851564304,2.5393021188190867
0,149,3.070241092813426,2.536648778453003
0,150,3.066922966247709,2.5340213847319366
0,151,3.063633492662402,2.531415711163618
0,152,3.060355338674461,2.528835849556451
0,153,3.0571081816856496,2.526272350876927
0,154,3.053894912080812,2.523729936130968
0,155,3.050713552747454,2.5212145847195293
0,156,3.0475579104400032,2.5187245419112276
0,157,3.044429356006566,2.5162535265202766
0,158,3.041337650515176,2.5138039880070457
0,159,3.0382725544163747,2.5113738407166326
0,160,3.0352260566110094,2.508967322383311
0,161,3.0321966984001874,2.5065769625908905
0,162,3.0292051249536973,2.5042037758110363
0,163,3.0262258283023176,2.501859158720953
0,164,3.0232827452015996,2.4995251783289745
0,165,3.0203603721017322,2.4972161425144748
0,166,3.017461012384574,2.4949258855577003
0,167,3.0145840804565127,2.4926534328049668
0,168,3.01173561406253,2.490398394810719
0,169,3.0088953694686515,2.4881615582951038
