,,val_loss,loss
0,77,0.014177461775028941,0.008977726808084455
0,78,0.013466487874465036,0.010562964666824982
0,79,0.014111444495361426,0.008777466271953775
0,80,0.04216397242446251,0.009554678238756293
0,81,0.015553180878899368,0.0111876869506335
0,82,0.013769626612843845,0.009154950035090871
0,83,0.01344248040813237,0.009119338148955415
0,84,0.020454874693466525,0.008964422689019686
0,85,0.013461581395544441,0.011484335565900363
0,86,0.021745452523378315,0.011953581154839604
0,87,0.014437298122518169,0.007710785441972189
0,88,0.01580069536902928,0.009750560075312225
0,89,0.018851439027216633,0.011348901870060787
0,90,0.03397888422305948,0.009559698581213888
0,91,0.015304215580885634,0.007271132792411645
0,92,0.03019812108003741,0.011066550522442504
0,93,0.014221331066098707,0.008411476168620962
0,94,0.019994925924122626,0.007146686581027942
0,95,0.01761968440830414,0.008171193061703257
0,96,0.012426857968673037,0.00846128627167381
0,97,0.01311226059577148,0.007174945652691323
0,98,0.013076273309700008,0.006343590238085232
0,99,0.018828458566530586,0.006815442800800913
0,100,0.015485506036818909,0.010563900563655648
0,101,0.033841340847570324,0.006832242069174352
0,102,0.013915600396435836,0.0103329394250896
0,103,0.016235825516687237,0.009385261666306842
0,104,0.012379825918068146,0.00818441752807881
0,105,0.011999178164881733,0.006788938173621878
0,106,0.01440470657802274,0.007990477959973773
0,107,0.013378614414795278,0.010847037442897247
0,108,0.016399611426251275,0.006583853547541131
0,109,0.014835879094715189,0.008064604245734068
0,110,0.024251982044850663,0.008016582495657648
0,111,0.014005998671605376,0.006836495783682693
0,112,0.013011521499218612,0.005833076782383143
0,113,0.01828087508641734,0.008576320154279884
0,114,0.021165350233686382,0.007150852577087052
0,115,0.013834946027273321,0.007211762704691057
0,116,0.023945888146537864,0.012834073329442829
0,117,0.012858287934122121,0.008132269337540134
0,118,0.013786239833960979,0.00745100004817352
0,119,0.013934175802275465,0.0058606690158537105
0,120,0.013693278776527625,0.005060567740248703
0,121,0.04159241153542044,0.009095513284313428
0,122,0.014720409169903236,0.007813639553687156
0,123,0.013399017870132559,0.00814427497530076
0,124,0.012253253549117172,0.007318133486147154
0,125,0.012892358956555721,0.008790650516268192
0,126,0.013684591728037801,0.007264974911583959
0,127,0.017584689247784356,0.007050161822276116
0,128,0.014987330514882586,0.005278326462659929
0,129,0.032623596507780656,0.007480475269430047
0,130,0.018023210752920564,0.007231827749234704
0,131,0.03238341985224503,0.009634497841144446
0,132,0.014929783892969192,0.00677277083805413
0,133,0.011842500757003946,0.004551546346719232
0,134,0.01524559391176172,0.007101753248086246
0,135,0.018434156925220206,0.005718899107303541
0,136,0.012294968764476588,0.0062386920614471006
0,137,0.011923027711145102,0.005875462465601786
0,138,0.02244780764644369,0.008489345422558383
0,139,0.015560426093234218,0.00673803701388027
0,140,0.04179079814497473,0.006278400640149126
0,141,0.01277294206281601,0.006864850592559128
0,142,0.012733589350406466,0.005501748260020782
0,143,0.014645641934805609,0.005371604839759401
0,144,0.012396754755689006,0.006533185163204137
0,145,0.015641050802296018,0.005605496671585975
0,146,0.0165848890310291,0.005649812390531804
0,147,0.013727915256738369,0.006029353008795245
0,148,0.03345482258740904,0.005662867879488335
0,149,0.013253753223075655,0.007722419672160614
0,150,0.016029659781623358,0.00457739668103626
0,151,0.013997026680615442,0.005393234201505772
0,152,0.014663225753700791,0.0048774368892791275
0,153,0.016153119566845776,0.005713897456093407
0,154,0.012092462182962543,0.00504662300430892
